"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"loading_bg/login_layer_panhard_ebr_1963/desc";"Reward for 100th level of the ""Fearless Voltigeur"" Battle Pass season";"Récompense pour le niveau 100 de la Saison de Battle Pass ""Voltigeur intrépide""";"Ricompensa per il 100° livello della stagione Battle Pass ""Volteggiatore Impavido""";"Belohnung für Stufe 100 des ""Furchtloser Voltigeur"" Battle Pass";"Recompensa por alcanzar el nivel 100° en la Temporada del Pase de Batalla ""Fearless Voltigeur""";"Награда за 100-ый уровень сезона Боевого пропуска ""Бесстрашный вольтижёр""";"Nagroda za osiągnięcie 100 poziomu Przepustki Bitewnej „Nieustraszony Woltyżer”";"Odměna za 100. úroveň v sezóně Bitevního pasu ""Fearless Voltigeur""";"""Fearless Voltigeur"" Battle Pass Sezonunun 100. seviyesine ulaşma ödülü";"战\t斗\t通\t行\t证 • “无\t畏\t腾\t跃\t兵”\t赛\t季 100 级\t奖\t励";"バトルパスシーズン「フィアレス・ヴォルティジュール（Fearless Voltigeur）」\tの\tレベル\t100\tの\t報酬";"Recompensa pelo 100º nível da Temporada do Battle Pass ""Fearless Voltigeur""";"Нагорода за 100-й рівень сезону бойової перепустки «Безстрашний Вольтігер»";"Reward for 100th level of the ""Fearless Voltigeur"" Battle Pass Season";"Jutalom a ""Félelem nélküli harcosok"" Battle Pass szezon századik szintjének feloldásáért.";"""Fearless Voltigeur"" 배틀 패스 시즌 100레벨 보상";"Узнагарода за 100-ы ўзровень сезона Баявога пропуску ""Бясстрашны вальтыжор""";"Reward for 100th level of the ""Fearless Voltigeur"" Battle Pass Season";"戰\t鬥\t通\t行\t證 • “無\t畏\t跳\t躍\t兵”\t賽\t季 100 級\t獎\t勵";"战\t斗\t通\t行\t证 • “无\t畏\t腾\t跃\t兵”\t赛\t季 100 级\t奖\t励";"Phần thưởng cho cấp độ 100 của mùa Battle Pass ""Fearless Voltigeur""";;
"loading_bg/login_layer_mig_27";"MiG-27M";"MiG-27M";"MiG-27M";"MiG-27M";"MiG-27M";"МиГ-27М";"MiG-27M";"MiG-27M";"MiG-27M";"米\t格\t-27M";"MiG-27M";"MiG-27M";"МіГ-27М";"MiG-27M";"MiG-27M";"MiG-27M";"МіГ-27М";"MiG-27M";"米\t格\t-27M";"米\t格\t-27M";"MiG-27M";;
"loading_bg/login_layer_saab_ja37";"JA 37 C Viggen";"JA37C";"JA37C";"JA37C";"JA37C";"JA37C";"JA37C";"JA37C";"JA37C";"JA 37C";"JA37C";"JA37C";"JA37C";"JA37C";"JA37C";"JA37C";"JA37C";"JA37C";"JA37C";"JA 37C\t“雷”";"JA37C";;
"loading_bg/login_layer_m1a1_hc";"M1A1HC Abrams";"M1A1 HC";"M1A1 HC";"M1A1 HC";"M1A1 HC";"M1A1 HC";"M1A1 HC";"M1A1 HC";"M1A1 HC";"M1A1HC";"M1A1 HC";"M1A1 HC";"M1A1 HC";"M1A1 HC";"M1A1 HC";"M1A1 HC";"M1A1 HC";"M1A1 HC";"M1A1 HC";"M1A1 HC";"M1A1 HC";;
"loading_bg/login_layer_pt_76_57";"PT-76B (BM-57)";"PT-76-57";"PT-76-57";"PT-76-57";"PT-76-57";"ПТ-76-57";"PT-76-57";"PT-76-57";"PT-76-57";"PT-76-57";"PT-76-57";"PT-76-57";"ПТ-76-57";"PT-76-57";"PT-76-57";"PT-76-57";"ПТ-76-57";"PT-76-57";"PT-76-57";"PT-76-57";"PT-76-57";;
"loading_bg/login_layer_pt_76_57/desc";"Reward for 100th level of the ""River Hunter"" Battle Pass season";"Récompense pour le niveau 100 de la Saison de Battle Pass ""Chasseur de rivière""";"Ricompensa per il 100° livello della Stagione Battle Pass ""Cacciatore Fluviale""";"Belohnung für Stufe 100 der Battle Pass Season ""River Hunter""";"Recompensa por alcanzar el 100° nivel en la Temporada del Pase de Batalla ""River Hunter""";"Награда за 100-ый уровень сезона Боевого пропуска ""Речной охотник""";"Nagroda za osiągnięcie 100 poziomu Przepustki bitewnej „Rzeczny Łowca”";"Odměna za 100. úroveň v sezóně Bitevního pasu ""Říční lovec""";"""River Hunter"" Battle Pass Sezonunun 100. seviyesine ulaşma ödülü";"战\t斗\t通\t行\t证 • “河\t道\t猎\t手”\t赛\t季 100 级\t奖\t励";"バトルパスシーズン「リバー・ハンター（River Hunter）」\tの\tレベル\t100\tの\t報酬";"Recomensa pelo 100º nível da temporada do Battle Pass ""River Hunter""";"Нагорода за 100-й рівень сезону бойової перепустки «Річковий мисливець»";"Reward for 100th level of the ""River Hunter"" Battle Pass Season";"Jutalom a ""Folyami vadász"" Battle Pass szezon századik szintjének feloldásáért.";"""River Hunter"" 배틀 패스 시즌 100레벨 보상";"Узнагарода за 100-ы ўзровень сезона Баявога пропуску ""Рачны паляўнічы""";"Reward for 100th level of the ""River Hunter"" Battle Pass Season";"戰\t鬥\t通\t行\t證 • “河\t道\t獵\t手”\t賽\t季 100 級\t獎\t勵";"战\t斗\t通\t行\t证 • “河\t道\t猎\t手”\t赛\t季 100 级\t奖\t励";"Phần thưởng cho cấp độ 100 của mùa Battle Pass ""River Hunter""";;
"loading_bg/login_layer_wiesels";"Wiesel 1 A4 MK20, Wiesel 1 A2 TOW, and LeFlaSys Ozelot";"Wiesel";"Wiesel";"Wiesel";"Wiesels";"Wiesels";"Wiesele";"Wiesels";"Wiesel'ler";"鼬\t鼠";"ヴィーゼル";"Wiesel";"Wiesels";"Wiesels";"Wiesel";"비젤";"Wiesels";"Wiesels";"鼬\t鼠";"鼬\t鼠";"Wiesels";;
"loading_bg/login_layer_jaguar_a";"Jaguar A";"Jaguar A";"Jaguar A";"Jaguar A";"Jaguar A";"Jaguar A";"Jaguar A";"Jaguar A";"Jaguar A";"美\t洲\t虎 A";"ジャギュア A";"Jaguar A";"Jaguar A";"Jaguar A";"Jaguar A";"재규어 A";"Jaguar A";"Jaguar A";"美\t洲\t豹 A";"“美\t洲\t虎” A";"Jaguar A";;
"loading_bg/login_layer_avre";"Centurion, Mk. 5 AVRE";"Centurion AVRE";"Centurion AVRE";"Centurion AVRE";"Centurion AVRE";"Centurion AVRE";"Centurion AVRE";"Centurion AVRE";"Centurion AVRE";"百\t夫\t长 AVRE";"センチュリオン AVRE";"Centurion AVRE";"Centurion AVRE";"Centurion AVRE";"Centurion AVRE";"센츄리온 AVRE";"Centurion AVRE";"Centurion AVRE";"百\t夫\t長 AVRE";"“百\t夫\t长” AVRE";"Centurion AVRE";;
"loading_bg/login_layer_9_years";"9th Anniversary of War Thunder";"9ème anniversaire de War Thunder";"9° Anniversario di War Thunder";"9. Geburtstag von War Thunder";"9° Aniversario de War Thunder";"9 лет War Thunder";"9 rocznica premiery War Thunder";"Deváté výročí War Thunderu";"War Thunder'in 9. Yıl Dönümü";"War Thunder 九\t周\t年";"『War Thunder』\tの\t9周年記念";"9º Aniversário do War Thunder";"9 років War Thunder";"9th Anniversary of War Thunder";"A War Thunder 9. évfordulója";"워썬더 9주년";"9 гадоў War Thunder";"9th Anniversary of War Thunder";"War Thunder 九\t週\t年";"战\t争\t雷\t霆\t九\t周\t年";"Kỉ niệm 9 năm War Thunder";;
"loading_bg/login_layer_battleship_scharnhorst";"Scharnhorst";"Scharnhorst";"Scharnhorst";"Scharnhorst";"Scharnhorst";"Scharnhorst";"Scharnhorst";"Scharnhorst";"Scharnhorst";"沙\t恩\t霍\t斯\t特\t号\t战\t列\t巡\t洋\t舰";"シャルンホルスト";"Scharnhorst";"Scharnhorst";"Scharnhorst";"Scharnhorst";"샤른호르스트";"Scharnhorst";"Scharnhorst";"沙\t恩\t霍\t斯\t特";"“沙\t恩\t霍\t斯\t特”\t号\t战\t列\t巡\t洋\t舰";"Scharnhorst";;
"loading_bg/login_layer_type10";"10 TK";"Type 10";"Tipo 10";"Typ 10";"Tipo 10";"Type 10";"Typ 10";"Typ 10";"Type 10";"10 式\t战\t车";"10式戦車";"Type 10";"Type 10";"Type 10";"10-es típus";"10식 전차";"Type 10";"Type 10";"10 式";"10 式\t战\t车";"Type 10";;
"loading_bg/login_layer_kfir_c7";"Kfir C.7";"Kfir C.7";"Kfir C7";"Kfir C7";"Kfir C7";"Kfir C7";"Kfir C7";"Kfir C7";"Kfir C7";"幼\t狮 C.7";"クフィル C.7";"Kfir C7";"Kfir C7";"Kfir C7";"Kfir C7";"크피르 C7";"Kfir C7";"Kfir C7";"幼\t獅 C.7";"“幼\t狮”\tC.7";"Kfir C7";;
"loading_bg/login_layer_israel_aircraft";"Israeli Air Forces";"IAF";"IAF";"IAF";"IAF";"ВВС Израиля";"IAF";"IAF";"IAF";"以\t色\t列\t空\t军";"イスラエル\t空軍";"FAI";"ВПС Ізраїлю";"IAF";"IAF";"IAF";"ВПС Ізраіля";"IAF";"以\t色\t列\t空\t軍";"Y\t系\t空\t军";"IAF";;
"loading_bg/login_layer_su_8";"Su-8 vs Panther D and Tiger E (spät)";"Su-8";"Su-8";"Su-8";"Su-8";"Су-8";"Su-8";"Su-8";"Su-8";"苏\t-8";"Su-8";"Su-8";"Су-8";"Su-8";"Su-8";"Su-8";"Су-8";"Su-8";"蘇\t-8";"Su-8";"Su-8";;
"loading_bg/login_layer_su_8/desc";"Reward for 100th level of the ""Firepower"" Battle Pass season";"Récompense pour le niveau 100 de la Saison de Battle Pass ""Firepower""";"Ricompensa per il livello 100 della Stagione Battle Pass ""Potenza di Fuoco""";"Belohnung für Level 100 in der Battle Pass Season ""Firepower""";"Recompensa por alcanzar el nivel 100 en la temporada del Pase de Batalla ""Firepower""";"Награда за 100-ый уровень сезона Боевого пропуска ""Огневая мощь""";"Nagroda za osiągnięcie 100 poziomu sezonu „Siła Ognia” Przepustki bitewnej";"Odměna za 100. úroveň Bitevního pasu sezóny ""Firepower""";"""Firepower"" Battle Pass Sezonunun 100. seviyesine ulaşma ödülü";"战\t斗\t通\t行\t证 • “火\t力\t全\t开”\t赛\t季 100 级\t奖\t励";"バトルパスシーズン「ファイヤーパワー（Firepower）」\tの\tレベル\t100\tの\t報酬";"Recompensa por alcançar o 100º nível na Temporada do Battle Pass ""Firepower""";"Нагорода за 100-й рівень сезону бойової перепустки «Вогнева міць»";"Reward for 100th level of the ""Firepower"" Battle Pass Season";"Jutalom a ""Tűzerő"" Battle Pass szezon századik szintjének feloldásáért.";"""Firepower"" 배틀 패스 시즌 100 레벨 달성 보상";"Узнагарода за 100-ы ўзровень сезона Баявога пропуску ""Агнявая моц""";"Reward for 100th level of the ""Firepower"" Battle Pass Season";"戰\t鬥\t通\t行\t證 • “火\t力\t至\t上”\t賽\t季 100 級\t獎\t勵";"战\t斗\t通\t行\t证 • “火\t力”\t赛\t季 100 级\t奖\t励";"Phần thưởng cho cấp độ 100 của mùa Battle Pass ""Firepower""";;
"loading_bg/login_layer_a_10a";"A-10A (1979)";"A-10A";"A-10A";"A-10A";"A-10A";"A-10A";"A-10A";"A-10A";"A-10A";"A-10A ";"A-10A";"A-10A";"A-10A";"A-10A";"A-10A";"A-10A";"A-10A";"A-10A";"A-10A 雷\t霆 II";"A-10A";"A-10A";;
"loading_bg/login_layer_arizona_1931";"USS Arizona (BB-39)";"USS Arizona";"USS Arizona";"USS Arizona";"USS Arizona";"USS Arizona";"USS Arizona";"USS Arizona";"USS Arizona";"亚\t利\t桑\t那\t号\t战\t列\t舰";"アメリカ\t海軍 アリゾナ";"USS Arizona";"USS Arizona";"USS Arizona";"USS Arizona";"USS 애리조나";"«Арызона» (ЗША)";"USS Arizona";"“亞\t利\t桑\t那”\t號\t戰\t列\t艦";"USS Arizona";"USS Arizona";;
"loading_bg/login_layer_black_night";"Challenger 2, Mk. 2 ""BN""";"Challenger 2 Black Night";"Black Night";"Black Night";"Black Night";"Black Night";"Czarna noc";"Black Night";"Black Night";"黑\t夜\t技\t术\t验\t证\t车";"ブラックナイト";"Black Night";"Black Night";"Black Night";"Fekete éjszaka";"블랙 나이트";"Black Night";"Black Night";"“黑\t夜”\t技\t術\t驗\t證\t車";"Black Night";"Black Night";;
"loading_bg/login_layer_desert_2022";"Worm Thunder — 2022";"Événement du 1er avril — 2022";"Evento d'Aprile — 2022";"1. April Event — 2022";"Padre del Desierto";"Первоапрельское событие — 2022";"Ojciec Pustyni";"Aprílová akce — 2022";"1 Nisan Etkinliği — 2022";"愚\t人\t节\t活\t动 (2022 年)";"砂漠の\t父";"Evento de 1º de Abril — 2022";"Першоквітнева подія — 2022";"April's Fool Event — 2022";"Április bolondja esemény - 2022";"사막의 시조";"Першакрасавіцкая падзея — 2022";"April's Fool Event — 2022";"沙\t漠\t之\t主";"April's Fool Event — 2022";"Sự kiện cá tháng Tư — 2022";;
"loading_bg/login_layer_elefant";"Elefant";"Elefant";"Elefante";"Elefant";"""Elefante""";"Elefant";"„Elefant”";"Slon";"Elefant";"大\t象\t出\t击";"「象」";"Elefante";"Elefant";"Elefant";"Elefánt";"""엘레판트""";"Слон";"Elefant";"“象\t式”";"Elefant";"Elefant";;
"loading_bg/login_layer_elefant/desc";"Reward for 100th level of the ""Armored Elephant"" Battle Pass season";"Récompense pour le 100e niveau de la saison ""Armored Elephant"" du Battle Pass";"Ricompensa per il 100° livello della Stagione Battle Pass ""Elefante Corazzato""";"Belohnung für Level 100 in der Battle Pass Season ""Armored Elephant""";"Recompensa por el nivel 100 de la Temporada del Pase de Batalla ""Armored Elephant""";"Награда за 100-й уровень сезона Боевого пропуска ""Бронированный слон""";"Nagroda za osiągnięcie 100 poziomu Przepustki bitewnej „Pancerny słoń”";"Odměna za dosaženou 100. úroveň sezóny Bitevního pasu """"Armored Elephant""";"""Armored Elephant"" Battle Pass Sezonunun 100. seviyesine ulaşma ödülü";"战\t斗\t通\t行\t证 • “重\t装\t巨\t象”\t赛\t季 100 级\t奖\t励";"バトルパスシーズン「装甲象（Armored Elephant）」\tの\tレベル\t100\tの\t報酬";"Prêmio pelo 100º nível da temporada do Battle Pass ""Armored Elephant""";"Нагорода за 100-й рівень бойової перепустки сезону «Броньований слон»";"Reward for 100th level of the ""Armored Elephant"" Battle Pass Season";"Jutalom a ""Páncélozott elefánt"" Battle Pass szezon századik szintjének feloldásáért.";"""Armored Elephant"" 시즌 100레벨 달성 보상";"Узнагарода за 100-ы ўзровень сезона Баявога пропуску ""Браніраваны слон""";"Reward for 100th level of the ""Armored Elephant"" Battle Pass Season";"戰\t鬥\t通\t行\t證 • “重\t裝\t巨\t像”\t賽\t季 100 級\t獎\t勵";"Reward for 100th level of the ""Armored Elephant"" Battle Pass Season";"Phần thưởng cho cấp độ 100 của mùa Battle Pass ""Armored Elephant""";;
"loading_bg/login_layer_battlecruiser_hood";"HMS Hood (51)";"HMS Hood";"HMS Hood";"HMS Hood";"HMS Hood";"HMS Hood";"HMS Hood";"HMS Hood";"HMS Hood";"胡\t德\t号\t战\t列\t巡\t洋\t舰";"HMS フッド";"HMS Hood";"HMS Hood";"HMS Hood";"HMS Hood";"HMS 후드";"HMS Hood";"HMS Hood";"HMS 胡\t德";"HMS Hood";"HMS Hood";;
"loading_bg/login_layer_g6_rhino";"G6-45 Renoster";"G6 Rhino";"G6 Rhino";"G6 Rhino";"G6 Rhino";"G6 Rhino";"G6 Rhino";"G6 Rhino";"G6 Rhino";"G6 犀\t牛";"G6\tライノ";"G6 Rhino";"G6 Rhino";"G6 Rhino";"G6 Rhino";"G6 라이노";"G6 Rhino";"G6 Rhino";"G6 犀\t牛";"G6 Rhino";"G6 Rhino";;
"loading_bg/login_layer_f_14a";"F-14A-65-GR Tomcat";"F-14A";"F-14A";"F-14A";"F-14A";"F-14A";"F-14A";"F-14A";"F-14A";"F-14A";"F-14A";"F-14A";"F-14A";"F-14A";"F-14A";"F-14A";"F-14A";"F-14A";"F-14A";"F-14A";"F-14A";;
"loading_bg/login_layer_object_248";"IS-5 (1944)";"Objet 248";"Object 248";"Objekt 248";"Object 248";"Объект 248";"Obiekt 248";"Objekt 248";"Object 248";"248 工\t程";"Object 248";"Object 248";"Об'єкт 248";"Object 248";"Objekt 248";"오비옉트 248";"Аб'ект 248";"Object 248";"248 工\t程";"Object 248";"Object 248";;
"loading_bg/login_layer_object_248/desc";"Reward for 100th level of the ""Field Testing"" Battle Pass season";"Récompense pour le 100e niveau de la saison Battle Pass ""Baptême du feu""";"Ricompensa per il 100° livello del Battle Pass ""Campo di Prova""";"Belohnung für Level 100 der Battle Pass Season ""Field Testing""";"Recompensa por el nivel 100 de la temporada del Pase de Batalla ""Field Testing""";"Награда за 100-й уровень сезона Боевого пропуска ""Полигонные испытания""";"Nagroda za osiągnięcia 100 poziomu przepustki bitewnej „Testy polowe”";"Odměna za dosažení 100. úrovně v sezóně Bitevního pasu ""Field tests""";"""Field Testing"" Battle Pass Sezonunun 100. seviyesine ulaşma ödülü";"战\t斗\t通\t行\t证 • “全\t面\t测\t试”\t赛\t季 100 级\t奖\t励";"バトルパスシーズン「実地試験（Field tests）」\tの\tレベル\t100\tの\t報酬";"Recompensa pelo 100º nível da temporada do Battle Pass ""Field tests""";"Нагорода за 100-й рівень бойової перепустки сезону «Польові випробування»";"Reward for 100th level of the ""Field Testing"" Battle Pass Season";"Jutalom a ""Tesztelés a terepen"" Battle Pass szezon századik szintjének feloldásáért.";"""Field Testing"" 배틀 패스 시즌 100레벨 보상";"Узнагарода за 100-ы ўзровень сезона Баявога пропуску ""Палігонныя выпрабаванні""";"Reward for 100th level of the ""Field Testing"" Battle Pass Season";"戰\t鬥\t通\t行\t證 • “實\t地\t測\t試”\t賽\t季 100 級\t獎\t勵";"Reward for 100th level of the ""Field Testing"" Battle Pass Season";"Phần thưởng cho cấp độ 100 của mùa Battle Pass ""Field Testing""";;
"loading_bg/login_layer_leopard_2a6";"Leopard 2 A6 vs T-90A and ZTZ99 (Phase 2)";"Leopard 2A6";"Leopard 2A6";"Leopard 2A6";"Leopard 2A6";"Leopard 2A6";"Leopard 2A6";"Leopard 2A6";"Leopard 2A6";"豹 2A6";"レオパルト 2A6";"Leopard 2A6";"Leopard 2A6";"Leopard 2A6";"Leopard 2A6";"레오파르트 2A6";"Leopard 2A6";"Leopard 2A6";"豹\t2A6";"Leopard 2A6";"Leopard 2A6";;
"loading_bg/login_layer_changhe_z10";"Z10";"Z-10";"Z-10";"Z-10";"Z-10";"Z-10";"Z-10";"Z-10";"Z-10";"直\t-10";"Z-10";"Z-10";"Z-10";"Z-10";"Z-10";"Z-10";"Z-10";"Z-10";"直\t-10";"Z-10";"Z-10";;
"loading_bg/login_layer_battlecruiser_alaska";"USS Alaska (CB-1)";"USS Alaska";"USS Alaska";"USS Alaska";"USS Alaska";"USS Alaska";"USS Alaska";"USS Alaska";"USS Alaska";"阿\t拉\t斯\t加";"USS アラスカ";"USS Alaska";"USS Alaska";"USS Alaska";"USS Alaska";"USS 알래스카";"USS Alaska";"USS Alaska";"阿\t拉\t斯\t加";"USS Alaska";"USS Alaska";;
"loading_bg/login_layer_m1a2_abrams";"M1A2 Abrams";"M1A2 Abrams";"M1A2 Abrams";"M1A2 Abrams";"M1A2 Abrams";"M1A2 Abrams";"M1A2 Abrams";"M1A2 Abrams";"M1A2 Abrams";"M1A2 艾\t布\t拉\t姆\t斯";"M1A2 エイブラムス";"M1A2 Abrams";"M1A2 Abrams";"M1A2 Abrams";"M1A2 Abrams";"M1A2 에이브람스";"M1A2 Abrams";"M1A2 Abrams";"M1A2 艾\t布\t蘭";"M1A2 Abrams";"M1A2 Abrams";;
"loading_bg/login_layer_su_25";"Su-25";"Su-25";"Su-25";"Su-25";"Su-25";"Су-25";"Su-25";"Su-25";"Su-25";"苏\t-25";"Su-25";"Su-25";"Су-25";"Su-25";"Su-25";"Su-25";"Су-25";"Su-25";"蘇\t-25";"Su-25";"Su-25";;
"loading_bg/login_layer_douglas_a_1h";"A-1H Skyraider";"A-1H";"A-1H";"A-1H";"A-1H";"A-1H";"A-1H";"A-1H";"A-1H";"A-1H";"A-1H";"A-1H";"A-1H";"A-1H";"A-1H";"A-1H";"A-1H";"A-1H";"A-1H";"A-1H";"A-1H";;
"loading_bg/login_layer_douglas_a_1h/desc";"Reward for level 100 of the ""Smell of Victory"" Battle Pass season";"Récompense pour le niveau 100 de la Saison de Battle Pass ""Odeur de la Victoire""";"Ricompensa per il livello 100 della Stagione Battle Pass ""Odore di Vittoria""";"Belohnung für Stufe 100 der Battle Pass-Saison ""Smell of Victory"".";"Recompensa por el nivel 100 de la temporada del Pase de Batalla ""Smell of Victory""";"Награда за 100-й уровень сезона Боевого пропуска ""Запах победы""";"Nagroda za osiągnięcie 100 poziomu Przepustki bitewnej „Zapach zwycięstwa”";"Odměna za 100 úroveň Bitevního pasu sezóny ""Smell of Victory""";"""Smell of Victory"" Battle Pass sezonu 100. seviye ödülü";"战\t斗\t通\t行\t证 • “胜\t利\t之\t息”\t赛\t季 100 级\t奖\t励";"バトルパスシーズン「勝利の\t香り」\tレベル\t100\tの\t報酬";"Prêmio por alcançar o nível 100 da temporada do Battle Pass ""Smell of Victory""";"Нагорода за 100-й рівень сезону бойової перепустки «Запах перемоги»";"Reward for level 100 of the ""Smell of Victory"" Battle Pass Season";"Jutalom a ""Győzelem illata"" Battle Pass szezon századik szintjének eléréséért.";"배틀 패스 ""Smell of Victory"" 시즌 100레벨 달성 보상";"За дасягненні сезона Баявога пропуску ""Пах Перамогі""";"Reward for level 100 of the ""Smell of Victory"" Battle Pass Season";"戰\t鬥\t通\t行\t證 • “勝\t利\t氣\t味”\t賽\t季 100 級\t獎\t勵";"Reward for level 100 of the ""Smell of Victory"" Battle Pass Season";"Phần thưởng cho cấp độ 100 của mùa Battle Pass ""Smell of Victory""";;
"loading_bg/login_layer_churchill_crocodile";"Churchill, Mk. VII, Crocodile";"Churchill Crocodile";"Churchill Crocodile";"Churchill Crocodile";"Churchill Crocodile";"Churchill Crocodile";"Churchill Crocodile";"Churchill Crocodile";"Churchill Crocodile";"丘\t吉\t尔\t鳄\t鱼";"チャーチル・クロコダイル";"Churchill Crocodile";"Churchill Crocodile";"Churchill Crocodile";"Churchill Crocodile";"처칠 크로커다일";"Churchill Crocodile";"Churchill Crocodile";"丘\t吉\t爾\t鱷\t魚";"Churchill Crocodile";"Churchill Crocodile";;
"loading_bg/login_layer_air_finland";"Finnish Air Forces";"Forces aériennes finlandaises";"Aviazione Finlandese";"Finnische Luftwaffe";"Fuerzas Aéreas Finlandesas";"ВВС Финляндии";"Fińskie Siły Powietrzne";"Finské letectvo";"Fin Hava Kuvvetleri";"芬\t兰\t空\t军";"フィンランド\t空軍";"Forças Aéreas Finlandesas";"Фінські повітряні сили";"Finnish Air Forces";"Finn légierő";"핀란드 공군";"Ваенна-паветраныя сілы Фінляндыі";"Finnish Air Forces";"芬\t蘭\t空\t軍";"Finnish Air Forces";"Không quân Phần Lan";;
"loading_bg/login_layer_finnish_ground_forces";"Finnish Ground Forces";"Forces terrestres finlandaises";"Esercito Finlandese";"Finnische Landstreitkräfte";"Fuerzas Terrestres Finlandesas";"Бронетехника Финляндии";"Fińskie wojska lądowe";"Finské pozemní síly";"Fin Kava Kuvvetleri";"芬\t兰\t陆\t军";"フィンランド\t陸軍";"Forças Terrestres Finlandesas";"Фінські наземні сили";"Finnish Ground Forces";"Finn szárazföldi erők";"핀란드 지상군";"Фінляндскія сухапутныя войскі ";"Finnish Ground Forces";"芬\t蘭\t陸\t軍";"Finnish Ground Forces";"Lục quân Phần Lan";;
"loading_bg/login_layer_wt_10_years";"10th Anniversary of War Thunder";"10e Anniversaire de War Thunder";"10° Anniversario di War Thunder";"10. Geburtstag von War Thunder";"10º Aniversario de War Thunder";"10 лет War Thunder";"10 rocznica premiery War Thunder";"10. výročí War Thunderu";"War Thunder'in 10. Yıl Dönümü";"战\t争\t雷\t霆\t十\t周\t年";"『War Thunder』\t10周年記念";"10º Aniversário do War Thunder";"10 років War Thunder";"10th Anniversary of War Thunder";"A War Thunder 10. évfordulója";"워 썬더 10주년";"10 гадоў War Thunder";"10th Anniversary of War Thunder";"War Thunder 十\t週\t年";"10th Anniversary of War Thunder";"Kỉ niệm 10 năm War Thunder";;
"loading_bg/login_layer_sturmmorser_sturmtiger";"Sturmmörserwagen 604/4";"Sturmmörser Tiger";"38 cm Sturmmörser";"38 cm Sturmmörser";"38 cm Sturmmörser";"38 cm Sturmmörser";"38 cm Sturmmörser";"38 cm Sturmmörser";"38 cm Sturmmörser";"突\t击\t虎";"38cm\t突撃臼砲 シュトルムティーガー";"Sturmtiger";"38 cm Sturmmörser";"38 cm Sturmmörser";"38 cm Sturmmörser";"슈투름티거";"38 cm Sturmmörser";"38 cm Sturmmörser";"突\t擊\t虎";"38 cm Sturmmörser";"38 cm Sturmmörser";;
"loading_bg/login_layer_wolfpack";"M1128 MGS (3rd Sqd. 2nd Cav.Reg.)";"M1128 Wolfpack";"M1128 ""Wolfpack""";"M1128 Wolfpack";"M1128 Wolfpack";"M1128 Wolfpack";"M1128 Wolfpack";"M1128 Wolfpack";"M1128 Wolfpack";"M1128 狼\t群\t突\t击";"M1128 ウルフパック";"M1128 Wolfpack";"M1128 Wolfpack";"M1128 Wolfpack";"M1128 Wolfpack";"M1128 울프팩";"M1128 Wolfpack";"M1128 Wolfpack";"M1128 (“狼\t群”\t號)";"M1128 Wolfpack";"M1128 Wolfpack";;
"loading_bg/login_layer_cruiser_garibaldi_class_abruzzi";"RN Duca degli Abruzzi";"Duca degli Abruzzi";"RN Duca degli Abruzzi";"RN Luigi di Savoia Duca degli Abruzzi";"RN Duca degli Abruzzi";"RN Duca degli Abruzzi";"Duca degli Abruzzi";"RN Duca degli Abruzzi";"RN Duca degli Abruzzi";"阿\t布\t鲁\t齐\t公\t爵";"RN ドゥーカ・デッリ・アブルッツィ";"RN Duca degli Abruzzi";"RN Duca degli Abruzzi";"RN Duca degli Abruzzi";"RN Duca degli Abruzzi";"RN 두카 델리 아브루치";"RN Duca degli Abruzzi";"RN Duca degli Abruzzi";"阿\t布\t魯\t齊\t公\t爵";"RN Duca degli Abruzzi";"RN Duca degli Abruzzi";;
"loading_bg/login_layer_apex_predators";"Apex Predators";"Apex Predators";"Apex predators";"Apex Predators";"Apex predators";"Apex Predators";"Drapieżcy szczytowi";"Apex Predators";"Apex predators";"终\t极\t捕\t食\t者";"アペックスプレデターズ（Apex Predators）";"Apex Predators";"Apex predators";"Apex Predators";"Csúcsragadozók";"Apex predators";"Вышэйшыя драпежнікі";"Apex Predators";"頂\t級\t掠\t食\t者";"Apex Predators";"Apex predators";;
"loading_bg/login_layer_amx_50_1950";"AMX 50 (TO 90/930)";"AMX-50 (TO90/930)";"AMX-50 (TO90/930)";"AMX-50 (TO90/930)";"AMX-50 (TO90/930)";"AMX-50 (TO90/930)";"AMX-50 (TO90/930)";"AMX-50 (TO90/930)";"AMX-50 (TO90/930)";"AMX-50 (TO90/930)";"AMX-50（TO90/930）";"AMX-50 (TO90/930)";"AMX-50 (TO90/930)";"AMX-50 (TO90/930)";"AMX-50 (TO90/930)";"AMX-50 (TO90/930)";"AMX-50 (TO90/930)";"AMX-50 (TO90/930)";"AMX-50 (TO90/930)";"AMX-50 (TO90/930)";"AMX-50 (TO90/930)";;
