"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"armor_class/glass68";"Bulletproof glass 68 mm";"Verre blindé 68 mm";"Vetro antiproiettile da 68mm";"Kugelsicheres Glas (68 mm)";"Cristal blindado 68 mm";"Бронестекло 68 мм";"Szkło kuloodporne 68 mm";"68 mm neprůstřelné sklo";"Kurşungeçirmez cam 68 mm";"68 毫\t米\t防\t弹\t玻\t璃";"68 mm 防弾\tガラス";"Vidro à Prova de Bala de 68 mm";"Бронескло 68 мм";"Neprobojno staklo 68 mm";"68 mm páncélüveg";"68 mm 방탄유리";"Браняшкло 68 мм";"Sticlă antiglonț 68 mm";"68 毫\t米\t防\t彈\t玻\t璃";"68 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 68 mm";;
"armor_class/glass70";"Bulletproof glass 70 mm";"Verre blindé 70 mm";"Vetro antiproiettile da 70mm";"Kugelsicheres Glas (70 mm)";"Cristal blindado 70 mm";"Бронестекло 70 мм";"Szkło kuloodporne 70 mm";"70 mm neprůstřelné sklo";"Kurşungeçirmez cam 70 mm";"70 毫\t米\t防\t弹\t玻\t璃";"70 mm 防弾\tガラス";"Vidro à Prova de Bala de 70 mm";"Бронескло 70 мм";"Neprobojno staklo 70 mm";"70 mm páncélüveg";"70 mm 방탄유리";"Браняшкло 70 мм";"Sticlă antiglonț 70 mm";"70 毫\t米\t防\t彈\t玻\t璃";"70 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 70 mm";;
"armor_class/glass75";"Bulletproof glass 75 mm";"Verre blindé 75 mm";"Vetro antiproiettile da 75mm";"Kugelsicheres Glas (75 mm)";"Cristal blindado 75 mm";"Бронестекло 75 мм";"Szkło kuloodporne 75 mm";"75 mm neprůstřelné sklo";"Kurşungeçirmez cam 75 mm";"75 毫\t米\t防\t弹\t玻\t璃";"75 mm 防弾\tガラス";"Vidro à Prova de Bala de 75 mm";"Бронескло 75 мм";"Neprobojno staklo 75 mm";"75 mm páncélüveg";"75 mm 방탄유리";"Браняшкло 75 мм";"Sticlă antiglonț 75 mm";"75 毫\t米\t防\t彈\t玻\t璃";"75 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 75 mm";;
"armor_class/glass90";"Bulletproof glass 90 mm";"Verre blindé 90 mm";"Vetro antiproiettile da 90mm";"Kugelsicheres Glas (90 mm)";"Cristal blindado 90 mm";"Бронестекло 90 мм";"Szkło kuloodporne 90 mm";"90 mm neprůstřelné sklo";"Kurşungeçirmez cam 90 mm";"90 毫\t米\t防\t弹\t玻\t璃";"90 mm 防弾\tガラス";"Vidro à Prova de Bala de 90 mm";"Бронескло 90 мм";"Neprobojno staklo 90 mm";"90 mm páncélüveg";"90 mm 방탄유리";"Браняшкло 90 мм";"Sticlă antiglonț 90 mm";"90 毫\t米\t防\t彈\t玻\t璃";"90 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 90 mm";;
"armor_class/glass105";"Bulletproof glass 105 mm";"Verre blindé 105 mm";"Vetro antiproiettile da 105mm";"Kugelsicheres Glas (105 mm)";"Cristal blindado 105 mm";"Бронестекло 105 мм";"Szkło kuloodporne 105 mm";"105 mm neprůstřelné sklo";"Kurşungeçirmez cam 105 mm";"105 毫\t米\t防\t弹\t玻\t璃";"105 mm 防弾\tガラス";"Vidro à Prova de Bala de 105 mm";"Бронескло 105 мм";"Neprobojno staklo 105 mm";"105 mm páncélüveg";"105 mm 방탄유리";"Браняшкло 105 мм";"Sticlă antiglonț 105 mm";"105 毫\t米\t防\t彈\t玻\t璃";"105 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 105 mm";;
"armor_class/glass106";"Bulletproof glass 106 mm";"Verre blindé 106 mm";"Vetro antiproiettile da 106mm";"Kugelsicheres Glas (106 mm)";"Cristal blindado 106 mm";"Бронестекло 106 мм";"Szkło kuloodporne 106 mm";"106 mm neprůstřelné sklo";"Kurşun geçirmez 106 mm cam";"106 毫\t米\t防\t弹\t玻\t璃";"106mm 防弾\tガラス";"Vidro à prova de bala de 106 mm";"Бронескло 106 мм";"Bulletproof glass 106 mm";"106 mm-es gólyóálló üveg";"106 mm 방탄유리";"Браняшкло 106 мм";"Bulletproof glass 106 mm";"106 毫\t米\t防\t彈\t玻\t璃";"Bulletproof glass 106 mm";"Kính chống đạn 106 mm";;
"armor_class/glass102";"Bulletproof glass 102 mm";"Verre blindé 102mm";"Vetro antiproiettile da 102mm";"Kugelsicheres Glas (102 mm)";"Cristal blindado 102 mm";"Бронестекло 102 мм";"Szkło kuloodporne 102 mm";"102 mm neprůstřelné sklo";"Kurşun geçirmez 102 mm cam";"102 毫\t米\t防\t弹\t玻\t璃";"102mm\t防弾\tガラス";"Vidro à prova de bala de 102 mm";"Куленепробивне скло 102 мм";"Neprobojno staklo 102 mm";"102 mm páncélüveg";"102 mm 방탄유리";"Браняшкло 102 мм";"Sticlă antiglonț 102 mm";"102 毫\t米\t防\t彈\t玻\t璃";"102\t毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 102 mm";;
"armor_class/glass155";"Bulletproof glass 155 mm";"Verre blindé 155 mm";"Vetro antiproiettile da 155mm";"Kugelsicheres Glas (155 mm)";"Cristal blindado 155 mm";"Бронестекло 155 мм";"Szkło kuloodporne 155 mm";"155 mm neprůstřelné sklo";"Kurşungeçirmez cam 155 mm";"155 毫\t米\t防\t弹\t玻\t璃";"155 mm 防弾\tガラス";"Vidro à Prova de Bala de 155 mm";"Бронескло 155 мм";"Neprobojno staklo 155 mm";"155 mm páncélüveg";"155 mm 방탄유리";"Браняшкло 155 мм";"Sticlă antiglonț 155 mm";"155 毫\t米\t防\t彈\t玻\t璃";"155 毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 155 mm";;
"armor_class/new_armor_glass22";"Bulletproof glass 22 mm";"Verre blindé 22 mm";"Vetro antiproiettile da 22mm";"Kugelsicheres Glas (22 mm)";"Cristal blindado 22 mm";"Бронестекло 22 мм";"Szkło kuloodporne 22 mm";"22 mm neprůstřelné sklo";"Kurşun geçirmez 22 mm cam";"22 毫\t米\t防\t弹\t玻\t璃";"22mm 防弾\tガラス";"Vidro à prova de balas 22mm";"Бронескло 22 мм";"Neprobojno staklo 22 mm";"22 mm páncélüveg";"22 mm 방탄유리";"Браняшкло 22 мм";"Bulletproof glass 22 mm";"22 毫\t米\t防\t彈\t玻\t璃";"22\t毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 22 mm";;
"armor_class/new_armor_glass42";"Bulletproof glass 42 mm";"Verre blindé 42 mm";"Vetro antiproiettile da 42mm";"Kugelsicheres Glas (42 mm)";"Cristal blindado 42 mm";"Бронестекло 42 мм";"Szkło kuloodporne 42 mm";"42 mm neprůstřelné sklo";"Kurşun geçirmez 42 mm cam";"42 毫\t米\t防\t弹\t玻\t璃";"42mm\t防弾\tガラス";"Vidro à prova de balas 42mm";"Бронескло 42 мм";"Bulletproof glass 42 mm";"42 mm-es gólyóálló üveg";"42 mm 방탄유리";"Браняшкло 42 мм";"Bulletproof glass 42 mm";"42 毫\t米\t防\t彈\t玻\t璃";"42\t毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 42 mm";;
"armor_class/new_armor_glass44";"Bulletproof glass 44 mm";"Verre blindé 44 mm";"Vetro antiproiettile da 44mm";"Kugelsicheres Glas (44 mm)";"Cristal blindado 44 mm";"Бронестекло 44 мм";"Szkło kuloodporne 44 mm";"44 mm neprůstřelné sklo";"Kurşun geçirmez 44 mm cam";"44 毫\t米\t防\t弹\t玻\t璃";"44mm 防弾\tガラス";"Vidro à prova de bala de 44 mm";"Бронескло 44 мм";"Neprobojno staklo 44 mm";"44 mm páncélüveg";"44 mm 방탄유리";"Браняшкло 44 мм";"Bulletproof glass 44 mm";"44 毫\t米\t防\t彈\t玻\t璃";"44\t毫\t米\t防\t弹\t玻\t璃";"Kính chống đạn 44 mm";;
"armor_class/plexiglas40";"Plexiglas 40 mm";"Plexiglass 40 mm";"Plexiglas da 40 mm";"Plexiglas 40 mm";"Plexiglas 40 mm";"Плексиглас 40 мм";"Szkło akrylowe 40 mm";"40mm plexisklo";"Plexiglas 40 mm";"40 毫\t米\t有\t机\t玻\t璃";"プレキシグラス 40mm";"Acrílico de 40 mm";"Оргскло 40 мм";"Plexiglas 40 mm";"40 mm plexi";"플렉시글라스 40 mm";"Аргшкло 40 мм";"Plexiglas 40 mm";"40 毫\t米\t有\t機\t玻\t璃";"40\t毫\t米\t有\t机\t玻\t璃";"Plexiglas 40 mm";;
"armor_class/dural";"Dural 1 mm";"Duraluminium 1mm";"Duralluminio 1 mm";"1mm Dural";"Dural 1 mm";"Дюраль 1 мм";"Dural 1 mm";"1 mm dural";"Duralüminyum 1 mm";"1 毫\t米\t杜\t拉\t铝";"ジュラルミン 1 mm";"1 mm de Dural";"Дюраль 1 мм";"Dural 1 mm";"1 mm dúralumínium";"1 mm 두랄루민";"Дзюраль 1 мм";"Duraluminiu 1 mm";"1 毫\t米\t杜\t拉\t鋁";"1 毫\t米\t杜\t拉\t铝";"Dural 1 mm";;
"armor_class/dural5";"Dural 5 mm";"Duraluminium 5 mm";"Duralluminio 5 mm";"5mm Dural";"Dural 5 mm";"Дюраль 5 мм";"Dural 5 mm";"5 mm dural";"Dural 5 mm";"5 毫\t米\t杜\t拉\t铝";"ジュラルミン 5 mm";"5 mm de Dural";"Дюраль 5 мм";"Dural 5 mm";"5 mm dúralumínium";"5 mm 두랄루민";"Дзюраль 5 мм";"Dural 5 mm";"5 毫\t米\t杜\t拉\t鋁";"5\t毫\t米\t杜\t拉\t铝\t铝\t合\t金";"Dural 5 mm";;
"armor_class/dural6_35";"Dural 6.35 mm";"Duraluminium 6,35mm";"Duralluminio 6.35 mm";"6,35mm Dural";"Dural 6.35 mm";"Дюраль 6.35 мм";"Dural 6,35 mm";"6.35 mm dural";"Dural 6.35 mm";"6.35 毫\t米\t杜\t拉\t铝";"ジュラルミン 6.35 mm";"6,35 mm de Dural";"Дюраль 6.35 мм";"Dural 6.35 mm";"6.35 mm-es dúralumínium";"6.35 mm 두랄루민";"Дзюраль 6.35 мм";"Dural 6.35 mm";"6.35 毫\t米\t杜\t拉\t鋁";"6.35\t毫\t米\t杜\t拉\t铝";"Dural 6.35 mm";;
"armor_class/dural9_5";"Dural 9.5 mm";"Duraluminium 9,5mm";"Duralluminio 9.5 mm";"9,5mm Dural";"Dural 9.5 mm";"Дюраль 9.5 мм";"Dural 9,5 mm";"9.5 mm dural";"Dural 9.5 mm";"9.5 毫\t米\t杜\t拉\t铝";"ジュラルミン 9.5 mm";"9,5 mm de Dural";"Дюраль 9.5 мм";"Dural 9.5 mm";"9.5 mm-es dúralumínium";"9.5 mm 두랄루민";"Дзюраль 9.5 мм";"Dural 9.5 mm";"9.5 毫\t米\t杜\t拉\t鋁";"9.5\t毫\t米\t杜\t拉\t铝";"Dural 9.5 mm";;
"armor_class/dural15_8";"Dural 15.8 mm";"Duraluminium 15.8mm";"Duralluminio 15.8 mm";"Dural 15,8 mm";"Dural 15.8 mm";"Дюраль 15.8 мм";"Dural 15,8 mm";"15.8 mm dural";"Dural 15.8 mm";"15.8 毫\t米\t杜\t拉\t铝";"ジュラルミン 15.8mm";"15,8 mm de Dural";"Дюраль 15,8 мм";"Dural 15.8 mm";"15.8 mm-es dúralumínium";"15.8 mm 두랄루민";"Дзюраль 15.8 мм";"Dural 15.8 mm";"15.8 毫\t米\t杜\t拉\t鋁";"Dural 15.8 mm";"Dural 15.8 mm";;
"armor_class/armor_fireplate";"Firewall";"Cloison coupe-feu";"Firewall";"Brandschutzwand";"Cortafuegos";"Противопожарная перегородка";"Ściana ogniowa";"Firewall";"Firewall";"防\t火\t隔\t板";"ファイアウォール";"Corta-fogo";"Протипожежна перегородка";"Firewall";"Tűzfal";"방화벽";"Проціпажарная перагародка";"Firewall";"防\t火\t隔\t板";"Firewall";"Tường lửa";;
"armor_class/steel";"Steel 1 mm";"Acier 1 mm";"Acciaio 1mm";"Stahl (1 mm)";"Acero 1 mm";"Сталь 1 мм";"Stal 1 mm";"1 mm ocel";"Çelik 1 mm";"1 毫\t米\t钢\t板";"鋼 1mm";"1 mm de Aço";"Сталь 1 мм";"Čelik 1 mm";"1 mm acél";"1 mm 강판";"Сталь 1 мм";"Oțel 1 mm";"1 毫\t米\t鋼";"1 毫\t米\t钢\t板";"Thép 1 mm";;
"armor_class/armor2";"Steel 2 mm";"Acier 2 mm";"Acciaio 2mm";"Stahl (2 mm)";"Acero 2 mm";"Сталь 2 мм";"Stal 2 mm";"2 mm ocel";"Çelik 2 mm";"2 毫\t米\t钢\t板";"鋼 2mm";"2 mm de Aço";"Сталь 2 мм";"Čelik 2 mm";"2 mm acél";"2 mm 강판";"Сталь 2 мм";"Oțel 2 mm";"2 毫\t米\t鋼";"2 毫\t米\t钢\t板";"Thép 2 mm";;
"armor_class/armor2_54";"Steel 2.54 mm";"Acier de 2.54 mm";"Acciaio da 2,54mm";"Stahl 2.54 mm";"Acero 2.54 mm";"Сталь 2.54 мм";"Stal 2,54 mm";"2,54 mm ocel";"Çelik 2.54 mm";"2.54 毫\t米\t钢\t板";"鋼鉄 2.54mm";"Aço de 2,54 mm";"Сталь 2.54 мм";"Čelik 2.54 mm";"2,54 mm acél";"2.54 mm 강판";"Сталь 2,54 мм";"Steel 2.54 mm";"2.54 毫\t米\t鋼";"2.54\t毫\t米\t钢\t板";"Thép 2.54 mm";;
"armor_class/armor3";"Steel 3 mm";"Acier 3 mm";"Acciaio 3mm";"Stahl (3 mm)";"Acero 3 mm";"Сталь 3 мм";"Stal 3 mm";"3 mm ocel";"Çelik 3 mm";"3 毫\t米\t钢\t板";"鋼 3mm";"3 mm de Aço";"Сталь 3 мм";"Čelik 3 mm";"3 mm acél";"3 mm 강판";"Сталь 3 мм";"Oțel 3 mm";"3 毫\t米\t鋼";"3 毫\t米\t钢\t板";"Thép 3 mm";;
"armor_class/armor4";"Steel 4 mm";"Acier 4 mm";"Acciaio 4mm";"Stahl (4 mm)";"Acero 4 mm";"Сталь 4 мм";"Stal 4 mm";"4 mm ocel";"Çelik 4 mm";"4 毫\t米\t钢\t板";"鋼 4mm";"4 mm de Aço";"Сталь 4 мм";"Čelik 4 mm";"4 mm acél";"4 mm 강판";"Сталь 4 мм";"Oțel 4 mm";"4 毫\t米\t鋼";"4 毫\t米\t钢\t板";"Thép 4 mm";;
"armor_class/armor4_5";"Steel 4.5 mm";"Acier 4.5 mm";"Acciaio 4.5mm";"Stahl 4,5 mm";"Acero 4.5 mm";"Сталь 4.5 мм";"Stal 4,5 mm";"4.5 mm ocel";"Çelik 4.5 mm";"4.5 毫\t米\t钢\t板";"鋼 4.5mm";"4,5 mm de Aço";"Сталь 4,5 мм";"Steel 4.5 mm";"4.5 mm-es acél";"4.5 mm 강판";"Сталь 4,5 мм";"Steel 4.5 mm";"4.5 毫\t米\t鋼\t板";"Steel 4.5 mm";"Thép 4.5 mm";;
"armor_class/armor4_7";"Steel 4.7 mm";"Acier 4.7 mm";"Acciaio 4.7mm";"Stahl (4,7 mm)";"Acero 4.7 mm";"Сталь 4.7 мм";"Stal 4,7 mm";"4,7 mm ocel";"Çelik 4.7 mm";"4.7 毫\t米\t钢\t板";"鋼 4.7mm";"4.7 mm de Aço";"Сталь 4.7 мм";"Čelik 4.7 mm";"4,7 mm acél";"4.7 mm 강판";"Сталь 4,7 мм";"Oțel 4,7 mm";"4.7 毫\t米\t鋼";"4.7 毫\t米\t钢\t板";"Thép 4.7 mm";;
"armor_class/armor5";"Steel 5 mm";"Acier 5 mm";"Acciaio 5mm";"Stahl (5 mm)";"Acero 5 mm";"Сталь 5 мм";"Stal 5 mm";"5 mm ocel";"Çelik 5 mm";"5 毫\t米\t钢\t板";"鋼 5mm";"5 mm de Aço";"Сталь 5 мм";"Čelik 5 mm";"5 mm acél";"5 mm 강판";"Сталь 5 мм";"Oțel 5 mm";"5 毫\t米\t鋼";"5 毫\t米\t钢\t板";"Thép 5 mm";;
"armor_class/armor5_5";"Steel 5.5 mm";"Acier 5.5 mm";"Acciaio 5.5mm";"Stahl (5,5 mm)";"Acero 5.5 mm";"Сталь 5.5 мм";"Stal 5,5 mm";"5,5 mm ocel";"Çelik 5.5 mm";"5.5 毫\t米\t钢\t板";"鋼 5.5mm";"5.5 mm de Aço";"Сталь 5.5 мм";"Čelik 5.5 mm";"5,5 mm acél";"5.5 mm 강판";"Сталь 5,5 мм";"Oțel 5,5 mm";"5.5 毫\t米\t鋼";"5.5 毫\t米\t钢\t板";"Thép 5.5 mm";;
"armor_class/armor6";"Steel 6 mm";"Acier 6 mm";"Acciaio 6mm";"Stahl (6 mm)";"Acero 6 mm";"Сталь 6 мм";"Stal 6 mm";"6 mm ocel";"Çelik 6 mm";"6 毫\t米\t钢\t板";"鋼 6mm";"6 mm de Aço";"Сталь 6 мм";"Čelik 6 mm";"6 mm acél";"6 mm 강판";"Сталь 6 мм";"Oțel 6 mm";"6 毫\t米\t鋼";"6 毫\t米\t钢\t板";"Thép 6 mm";;
"armor_class/armor6_35";"Steel 6.35 mm";"Acier 6.35";"Acciaio 6.35mm";"Stahl (6,35 mm)";"Acero 6.35 mm";"Сталь 6.35 мм";"Stal 6,35 mm";"6,3 mm ocel";"Çelik 6.35 mm";"6.35 毫\t米\t钢\t板";"鋼 6.35mm";"6.35 mm de Aço";"Сталь 6.35 мм";"Čelik 6.35 mm";"6,35 mm acél";"6.35 mm 강판";"Сталь 6,35 мм";"Oțel 6,35 mm";"6.35 毫\t米\t鋼";"6.35 毫\t米\t钢\t板";"Thép 6.35 mm";;
"armor_class/armor6_5";"Steel 6.5 mm";"Acier 6.5 mm";"Acciaio 6.5mm";"Stahl (6,5 mm)";"Acero 6.5 mm";"Сталь 6.5 мм";"Stal 6,5 mm";"6,5 mm ocel";"Çelik 6.5 mm";"6.5 毫\t米\t钢\t板";"鋼 6.5mm";"6.5 mm de Aço";"Сталь 6.5 мм";"Čelik 6.5 mm";"6,5 mm acél";"6.5 mm 강판";"Сталь 6,5 мм";"Oțel 6,5 mm";"6.5 毫\t米\t鋼";"6.5 毫\t米\t钢\t板";"Thép 6.5 mm";;
"armor_class/armor7";"Steel 7 mm";"Acier 7 mm";"Acciaio 7mm";"Stahl (7 mm)";"Acero 7 mm";"Сталь 7 мм";"Stal 7 mm";"7 mm ocel";"Çelik 7 mm";"7 毫\t米\t钢\t板";"鋼 7mm";"7 mm de Aço";"Сталь 7 мм";"Čelik 7 mm";"7 mm acél";"7 mm 강판";"Сталь 7 мм";"Oțel 7 mm";"7 毫\t米\t鋼";"7 毫\t米\t钢\t板";"Thép 7 mm";;
"armor_class/armor7_9";"Steel 7.9 mm";"Acier 7.9 mm";"Acciaio da 7,9 mm";"Stahl 7.9 mm";"Acero 7.9 mm";"Сталь 7.9 мм";"Stal 7,9 mm";"7,9 mm ocel";"Çelik 7.9 mm";"7.9 毫\t米\t钢\t板";"鋼 7.9mm";"Aço de 7.9 mm";"Сталь 7.9 мм";"Čelik 7.9 mm";"7,9 mm acél";"7.9 mm 강판";"Сталь 7,9 мм";"Steel 7.9 mm";"7.9 毫\t米\t鋼";"7.9\t毫\t米\t钢\t板";"Thép 7.9 mm";;
"armor_class/armor8";"Steel 8 mm";"Acier 8 mm";"Acciaio 8mm";"Stahl (8 mm)";"Acero 8 mm";"Сталь 8 мм";"Stal 8 mm";"8 mm ocel";"Çelik 8 mm";"8 毫\t米\t钢\t板";"鋼 8mm";"8 mm de Aço";"Сталь 8 мм";"Čelik 8 mm";"8 mm acél";"8 mm 강판";"Сталь 8 мм";"Oțel 8 mm";"8 毫\t米\t鋼";"8 毫\t米\t钢\t板";"Thép 8 mm";;
"armor_class/armor8_5";"Steel 8.5 mm";"Acier 8.5 mm";"Acciaio 8.5mm";"Stahl (8,5 mm)";"Acero 8.5 mm";"Сталь 8.5 мм";"Stal 8,5 mm";"8,5 mm ocel";"Çelik 8.5 mm";"8.5 毫\t米\t钢\t板";"鋼 8.5mm";"8.5 mm de Aço";"Сталь 8.5 мм";"Čelik 8.5 mm";"8,5 mm acél";"8.5 mm 강판";"Сталь 8,5 мм";"Oțel 8,5 mm";"8.5 毫\t米\t鋼";"8.5 毫\t米\t钢\t板";"Thép 8.5 mm";;
"armor_class/armor9";"Steel 9 mm";"Acier 9 mm";"Acciaio 9mm";"Stahl (9 mm)";"Acero 9 mm";"Сталь 9 мм";"Stal 9 mm";"9 mm ocel";"Çelik 9 mm";"9 毫\t米\t钢\t板";"鋼 9mm";"9 mm de Aço";"Сталь 9 мм";"Čelik 9 mm";"9 mm acél";"9 mm 강판";"Сталь 9 мм";"Oțel 9 mm";"9 毫\t米\t鋼";"9 毫\t米\t钢\t板";"Thép 9 mm";;
"armor_class/armor9_5";"Steel 9.5 mm";"Acier 9.5 mm";"Acciaio 9.5mm";"Stahl (9,5 mm)";"Acero 9.5 mm";"Сталь 9.5 мм";"Stal 9,5 mm";"9,5 mm ocel";"Çelik 9.5 mm";"9.5 毫\t米\t钢\t板";"鋼 9.5mm";"9.5 mm de Aço";"Сталь 9.5 мм";"Čelik 9.5 mm";"9,5 mm acél";"9.5 mm 강판";"Сталь 9,5 мм";"Oțel 9,5 mm";"9.5 毫\t米\t鋼";"9.5 毫\t米\t钢\t板";"Thép 9.5 mm";;
"armor_class/armor10";"Steel 10 mm";"Acier 10 mm";"Acciaio 10mm";"Stahl (10 mm)";"Acero 10 mm";"Сталь 10 мм";"Stal 10 mm";"10 mm ocel";"Çelik 10 mm";"10 毫\t米\t钢\t板";"鋼 10mm";"10 mm de Aço";"Сталь 10 мм";"Čelik 10 mm";"10 mm acél";"10 mm 강판";"Сталь 10 мм";"Oțel 10 mm";"10 毫\t米\t鋼";"10 毫\t米\t钢\t板";"Thép 10 mm";;
"armor_class/armor10_5";"Steel 10.5 mm";"Acier 10.5 mm";"Acciaio 10.5mm";"Stahl (10,5 mm)";"Acero 10.5 mm";"Сталь 10.5 мм";"Stal 10,5 mm";"10,5 mm ocel";"Çelik 10.5 mm";"10.5 毫\t米\t钢\t板";"鋼 10.5mm";"10.5 mm de Aço";"Сталь 10.5 мм";"Čelik 10.5 mm";"10,5 mm acél";"10.5 mm 강판";"Сталь 10,5 мм";"Oțel 10,5 mm";"10.5 毫\t米\t鋼";"10.5 毫\t米\t钢\t板";"Thép 10.5 mm";;
"armor_class/armor11";"Steel 11 mm";"Acier 11 mm";"Acciaio 11mm";"Stahl (11 mm)";"Acero 11 mm";"Сталь 11 мм";"Stal 11 mm";"11 mm ocel";"Çelik 11 mm";"11 毫\t米\t钢\t板";"鋼 11mm";"11 mm de Aço";"Сталь 11 мм";"Čelik 11 mm";"11 mm acél";"11 mm 강판";"Сталь 11 мм";"Oțel 11 mm";"11 毫\t米\t鋼";"11 毫\t米\t钢\t板";"Thép 11 mm";;
"armor_class/armor11_11";"Steel 11.11 mm";"Acier 11.11 mm";"Acciaio 11.11mm";"Stahl (11,11 mm)";"Acero 11.11 mm";"Сталь 11.11 мм";"Stal 11,11 mm";"11,1 mm ocel";"Çelik 11.11 mm";"11.11 毫\t米\t钢\t板";"鋼 11.11mm";"11.11 mm de Aço";"Сталь 11.11 мм";"Čelik 11.11 mm";"11,11 mm acél";"11.11 mm 강판";"Сталь 11,11 мм";"Oțel 11,11 mm";"11.11 毫\t米\t鋼";"11.11 毫\t米\t钢\t板";"Thép 11.11 mm";;
"armor_class/armor12";"Steel 12 mm";"Acier 12 mm";"Acciaio 12mm";"Stahl (12 mm)";"Acero 12 mm";"Сталь 12 мм";"Stal 12 mm";"12 mm ocel";"Çelik 12 mm";"12 毫\t米\t钢\t板";"鋼 12mm";"12 mm de Aço";"Сталь 12 мм";"Čelik 12 mm";"12 mm acél";"12 mm 강판";"Сталь 12 мм";"Oțel 12 mm";"12 毫\t米\t鋼";"12 毫\t米\t钢\t板";"Thép 12 mm";;
"armor_class/armor12_5";"Steel 12.5 mm";"Acier 12.5 mm";"Acciaio 12.5mm";"Stahl (12,5 mm)";"Acero 12.5 mm";"Сталь 12.5 мм";"Stal 12,5 mm";"12,5 mm ocel";"Çelik 12.5 mm";"12.5 毫\t米\t钢\t板";"鋼 12.5mm";"12.5 mm de Aço";"Сталь 12.5 мм";"Čelik 12.5 mm";"12,5 mm acél";"12.5 mm 강판";"Сталь 12,5 мм";"Oțel 12,5 mm";"12.5 毫\t米\t鋼";"12.5 毫\t米\t钢\t板";"Thép 12.5 mm";;
"armor_class/armor12_7";"Steel 12.7 mm";"Acier 12.7 mm";"Acciaio 12.7mm";"Stahl (12,7 mm)";"Acero 12.7 mm";"Сталь 12.7 мм";"Stal 12,7 mm";"12,7 mm ocel";"Çelik 12.7 mm";"12.7 毫\t米\t钢\t板";"鋼 12.7mm";"12.7 mm de Aço";"Сталь 12.7 мм";"Čelik 12.7 mm";"12,7 mm acél";"12.7 mm 강판";"Сталь 12,7 мм";"Oțel 12,7 mm";"12.7 毫\t米\t鋼";"12.7 毫\t米\t钢\t板";"Thép 12.7 mm";;
"armor_class/armor13";"Steel 13 mm";"Acier 13 mm";"Acciaio 13mm";"Stahl (13 mm)";"Acero 13 mm";"Сталь 13 мм";"Stal 13 mm";"13 mm ocel";"Çelik 13 mm";"13 毫\t米\t钢\t板";"鋼 13mm";"13 mm de Aço";"Сталь 13 мм";"Čelik 13 mm";"13 mm acél";"13 mm 강판";"Сталь 13 мм";"Oțel 13 mm";"13 毫\t米\t鋼";"13 毫\t米\t钢\t板";"Thép 13 mm";;
"armor_class/armor13_5";"Steel 13.5 mm";"Acier 13.5 mm";"Acciaio 13.5mm";"Stahl (13,5 mm)";"Acero 13.5 mm";"Сталь 13.5 мм";"Stal 13,5 mm";"13,5 mm ocel";"Çelik 13.5 mm";"13.5 毫\t米\t钢\t板";"鋼 13.5mm";"13.5 mm de Aço";"Сталь 13.5 мм";"Čelik 13.5 mm";"13,5 mm acél";"13.5 mm 강판";"Сталь 13,5 мм";"Oțel 13,5 mm";"13.5 毫\t米\t鋼";"13.5 毫\t米\t钢\t板";"Thép 13.5 mm";;
"armor_class/armor14";"Steel 14 mm";"Acier de 14 mm";"Acciaio 14mm";"Stahl 14 mm";"Acero 14 mm";"Сталь 14 мм";"Stal 14 mm";"14 mm ocel";"Çelik 14 mm";"14 毫\t米\t钢\t板";"鋼 14mm";"Aço de 14 mm";"Сталь 14 мм";"Čelik 14 mm";"14 mm acél";"14 mm 강판";"Сталь 14 мм";"Oțel 14 mm";"14 毫\t米\t鋼";"14\t毫\t米\t钢\t板";"Thép 14 mm";;
"armor_class/armor15";"Steel 15 mm";"Acier 15 mm";"Acciaio 15mm";"Stahl (15 mm)";"Acero 15 mm";"Сталь 15 мм";"Stal 15 mm";"15 mm ocel";"Çelik 15 mm";"15 毫\t米\t钢\t板";"鋼 15mm";"15 mm de Aço";"Сталь 15 мм";"Čelik 15 mm";"15 mm acél";"15 mm 강판";"Сталь 15 мм";"Oțel 15 mm";"15 毫\t米\t鋼";"15 毫\t米\t钢\t板";"Thép 15 mm";;
