"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"engine_model/132a";"
Engine model: 132A";"132A";"132A";"132A";"132A";"132A";"132A";"132A";"132A";"132A";"132A";"132A";"132A";"132A";"132A";"132A";"132A";"132A";"132A";"132A";;
"engine_model/jumo_211d";"
Engine model: Jumo 211D";"Jumo 211D";"Jumo 211D";"Jumo 211D";"Jumo 211D";"Jumo 211D";"Jumo 211D";"Jumo 211 D";"Jumo-211D";"Jumo 211D";"ユモ 211D";"Jumo 211D";"Jumo 211D";"Džumo 211D";"Jumo 211D";"유모 211D";"Jumo 211D";"Jumo 211D";"Jumo 211D";"Jumo 211D";;
"engine_model/jumo_211j";"
Engine model: Jumo 211J";"Jumo 211J";"Jumo 211J";"Jumo 211J";"Jumo 211J";"Jumo 211J";"Jumo 211J";"Jumo 211 J";"Jumo-211J";"Jumo 211J";"ユモ 211J";"Jumo 211J";"Jumo 211J";"Džumo 211J";"Jumo 211J";"유모 211J";"Jumo 211J";"Jumo 211J";"Jumo 211J";"Jumo 211J";;
"engine_model/baumuster_14m";"
Engine model: Baumuster 14M";"Baumuster 14M";"Baumuster 14M";"Baumuster 14M";"Baumuster 14M";"Baumuster 14M";"Baumuster 14M";"Baumuster 14M";"Baumuster 14M";"14M 型";"Baumuster 14M";"Baumuster 14M";"Baumuster 14M";"Baumuster 14M";"Baumuster 14M";"바우무스터 14M";"Baumuster 14M";"Baumuster 14M";"14M 型";"14M 型";;
"engine_model/iv_7_3";"
Engine model: IV 7.3";"IV 7.3";"IV 7.3";"IV 7.3";"IV 7.3";"IV 7.3";"IV 7.3";"IV 7.3";"IV 7.3";"IV 7.3";"IV 7.3";"IV 7.3";"IV 7.3";"IV 7.3";"IV 7.3";"IV 7.3";"IV 7.3";"IV 7.3";"IV 7.3";"IV 7.3";;
"engine_model/jumo_211f";"
Engine model: Jumo 211F";"Jumo 211F";"Jumo 211F";"Jumo 211F";"Jumo 211F";"Jumo 211F";"Jumo 211F";"Jumo 211 F";"Jumo-211F";"Jumo 211F";"ユモ 211F";"Jumo 211F";"Jumo 211F";"Džumo 211F";"Jumo 211F";"유모 211F";"Jumo 211F";"Jumo 211F";"Jumo 211F";"Jumo 211F";;
"engine_model/jumo_211b_1";"
Engine model: Jumo 211B-1";"Jumo 211B-1";"Jumo 211B-1";"Jumo 211B-1";"Jumo 211B-1";"Jumo 211B-1";"Jumo 211B-1";"Jumo 211 B-1";"Jumo211B-1";"Jumo 211B-1";"ユモ 211B-1";"Jumo 211B-1";"Jumo 211B-1";"Džumo 211B-1";"Jumo 211B-1";"유모 211B-1";"Jumo 211B-1";"Jumo 211B-1";"Jumo 211B-1";"Jumo 211B-1";;
"engine_model/126_rc_34";"
Engine model: 126 RC 34";"126 RC 34";"126 RC 34";"126 RC 34";"126 RC 34";"126 RC 34";"126 RC 34";"126 RC 34";"126 RC 34";"126 RC 34";"126 RC 34";"126 RC 34";"126 RC 34";"126 RC 34";"126 R.C. 34";"126 RC 34";"126 RC 34";"126 RC 34";"126 RC 34";"126 RC 34";;
"engine_model/k14_mistral";"
Engine model: K.14 Mistral";"K.14 Mistral";"K.14 Mistral";"K.14 Mistral";"K.14 Mistral";"K.14 Mistral";"K.14 Mistral";"K.14 Mistral";"K.14 Mistral";"14K 西\t北\t风";"K.14 ミストラル";"K.14 Mistral";"14K Mistral";"K.14 Mistral";"14K Mistral";"K.14 미스트랄";"K.14 Mistral";"K. 14 Mistral";"14K\t“西\t北\t风”";"14K\t“西\t北\t风”";;
"engine_model/132h";"
Engine model: 132H";"132H";"132H";"132H";"132H";"132H";"132H";"132H";"132H";"132H";"132H";"132H";"132H";"132H";"132H";"132H";"132H";"132H";"132H";"132H";;
"engine_model/bmw_801_d";"
Engine model: 801 D";"801 D";"801 D";"801 D";"801 D";"801 D";"801 D";"801D";"801 D";"801 D";"801 D";"801 D";"801 D";"801 D";"801 D";"801 D";"801 D";"801 D";"801 D";"801 D";;
"engine_model/as_410";"
Engine model: AS 410";"AS 410";"AS 410";"AS 410";"AS 410";"AS 410";"AS 410";"AS 410";"AS-410";"AS 410";"AS-410";"AS 410";"AS 410";"AS 410";"AS 410";"AS 410";"AS 410";"AS 410";"AS 410";"AS 410";;
"engine_model/1710-77";"
Engine model: V-1710-77";"V-1710-77";"V-1710-77";"V-1710-77";"V-1710-77";"V-1710-77";"V1710-77";"V-1710-77";"V1710-77";"V-1710-77";"V1710-77";"V-1710-77";"V-1710-77";"V-1710-77";"V-1710-77";"V-1710-77";"V-1710-77";"V-1710-77";"V-1710-77";"V-1710-77";;
"engine_model/r2800-31";"
Engine model: R-2800-31";"R-2800-31";"R-2800-31";"R-2800-31";"R-2800-31";"R-2800-31";"R-2800-31";"R-2800-31";"R2800-31";"R-2800-31";"R-2800-31";"R-2800-31";"R-2800-31";"R-2800-31";"R-2800-31";"R-2800-31";"R-2800-31";"R-2800-31";"R-2800-31";"R-2800-31";;
"engine_model/ha_112_2ru";"
Engine model: Ha-112-II Ru";"Ha-112-II Ru";"Ha-112-II Ru";"Ha-112-II Ru";"Ha-112-II Ru";"Ха-112-II Ру";"Ha-112-II Ru";"Ha-112-II Ru";"Ha-112-2 Ru";"Ha-112-II-Ru";"ハ\t112-II ル";"Ha-112-II Ru";"Ha-112-II Ru";"Ha-112-II Ru";"Ha-112-II Ru";"하112-II루";"Ha-112-II Ru";"Ha-112-II Ru";"ハ\t112-II ル";"Ha-112-II Ru";;
"engine_model/kasei_14";"
Engine model: Kasei 14";"Kasei 14";"Kasei 14";"Kasei 14";"Kasei 14";"Касей 14";"Kasei 14";"Kasei 14";"Kasei-14";"火\t星\t一\t四\t型";"火星\t14型";"Kasei 14";"Kasei 14";"Kasei 14";"Kaszei 14";"카세이 14형";"Kasei 14";"Kasei 14";"火\t星\t一\t四\t型";"火\t星\t一\t四\t型";;
"engine_model/j48-p-8a";"
Engine model: J48-P-8A";"J48-P-8A";"J48-P-8A";"J48-P-8A";"J48-P-8A";"J48-P-8A";"J48-P-8A";"J48-P-8A";"J48-P-8A";"J48-P-8A";"J48-P-8A";"J48-P-8A";"J48-P-8A";"J48-P-8A";"J48-P-8A";"J48-P-8A";"J48-P-8A";"J48-P-8A";"J48-P-8A";"J48-P-8A";;
"engine_model/hwk_109_509s";"
Engine model: HWK 109-509s";"HWK 109-509s";"HWK 109-509";"HWK 109-509s";"HWK 109-509s";"HWK 109-509s";"HWK 109-509s";"HWK 109-509S";"HWK 109-509s";"HWK 109-509s";"HWK 109-509";"HWK 109-509s";"HWK 109-509s";"HWK 109-509s";"HWK 109-509S";"HWK 109-509s";"HWK 109-509s";"HWK 109-509s";"HWK 109-509s";"HWK 109-509s";;
"engine_model/bmw_109-718";"
Engine model: 109-718";"109-718";"109-718";"109-718";"109-718";"109-718";"109-718";"109-718";"109-718";"109-718";"109-718";"109-718";"109-718";"109-718";"109-718";"109-718";"109-718";"109-718";"109-718";"BMW 109-718";;
"engine_model/r2800-79";"
Engine model: R-2800-79";"R-2800-79";"R-2800-79";"R-2800-79";"R-2800-79";"R-2800-79";"R-2800-79";"R-2800-79";"R-2800-79";"R-2800-79";"R-2800-79";"R-2800-79";"R-2800-79";"R-2800-79";"R-2800-79";"R-2800-79";"R-2800-79";"R-2800-79";"R-2800-79";"R-2800-79";;
"engine_model/rd-20f";"
Engine model: RD-20F";"RD-20F";"RD-20F";"RD-20F";"RD-20F";"РД-20Ф";"RD-20F";"RD-20F";"RD-20F";"RD-20F";"RD-20F";"RD-20F";"РД-20Ф";"RD-20F";"RD-20F";"RD-20F";"РД-20Ф";"RD-20F";"RD-20F";"RD-20F";;
"engine_model/vk_105pf2";"
Engine model: VK-105PF2";"VK-105PF2";"VK-105PF2";"VK-105PF2";"VK-105PF2";"ВК-105ПФ2";"WK-105PF2";"VK-105PF2";"VK-105PF2";"VK-105PF2";"VK-105PF2";"VK-105PF2";"ВК-105ПФ2";"VK-105PF2";"VK-105PF2";"VK-105PF2";"ВК-105ПФ2";"VK-105PF2";"VK-105PF2";"VK-105PF2";;
"engine_model/r-1820-95";"
Engine model: R-1820-95 Cyclone";"R-1820-95";"R-1820-95";"R-1820-95";"R-1820-95";"R-1820-95";"R-1820-95";"R-1820-95";"R-1820-95";"R-1820-95";"R-1820-95";"R-1820-95";"R-1820-95";"R-1820-95";"R-1820-95";"R-1820-95";"R-1820-95";"R-1820-95";"R-1820-95";"R-1820-95";;
"engine_model/RC.41";"
Engine model: A80 RC.41";"A80 RC.41";"A80 RC.41";"A80 RC.41";"A80 RC.41";"A80 RC.41";"A80 RC.41";"A80 RC.41";"A80 RC.41";"A.80 R.C.41";"A80 RC.41";"A80 RC.41";"A80 RC.41";"A80 RC.41";"A80 R.C. 41";"A80 RC.41";"A80 RC.41";"A80 RC. 41";"A.80 R.C.41";"A.80 R.C.41";;
"engine_model/a-30";"
Engine model: A30";"A30";"A30";"A30";"A30";"A30";"A30";"A30";"A30";"A.30 R.A.";"A30";"A30";"A30";"A30";"A.30 R.A.";"A30";"A30";"A30";"A.30 R.A.";"A.30 R.A.";;
"engine_model/a-30bis";"
Engine model: A30 Bis";"A30 Bis";"A30 Bis";"A30 Bis";"A30 Bis";"A30 Bis";"A30 Bis";"A30bis";"A30 Bis";"A.30 R.A.bis";"A30 Bis";"A30 Bis";"A30 Bis";"A30 Bis";"A.30 R.A.bis";"A30 Bis";"A30 Bis";"A30 Bis";"A.30 R.A.bis";"A.30 R.A.bis";;
"engine_model/P_X_R";"
Engine model: P.X.R";"P.X.R";"P.X.R";"P.X.R";"P.X.R";"P.X.R";"P.X.R";"P.X.R";"P.X.R";"P.X.R";"P.X.R";"P.X.R";"P.X.R";"P.X.R";"P.X.R";"P.X.R";"P.X.R";"P.X.R";"P.X.R";"P.X.R";;
"engine_model/P_XI_RC40";"
Engine model: P.XI. R.C. 40";"P.XI. R.C. 40";"P.XI. R.C. 40";"P.XI. R.C. 40";"P.XI. R.C. 40";"P.XI. R.C. 40";"P.XI. R.C. 40";"P.XI R.C. 40";"P.XI. R.C. 40";"P.XI. R.C.40";"P.XI. R.C. 40";"P.XI. R.C. 40";"P.XI. R.C. 40";"P.XI. R.C. 40";"P.XI. R.C. 40";"P.XI. R.C. 40";"P.XI. R.C. 40";"P.XI. R.C. 40";"P.XI. R.C.40";"P.XI. R.C.40";;
"engine_model/P.XII RC.35";"
Engine model: P.XII RC.35";"P.XII RC.35";"P.XII RC.35";"P.XII RC.35";"P.XII RC.35";"P.XII RC.35";"P.XII RC.35";"P.XII R.C. 35";"P.XII RC.35";"P.XII RC.35";"P.XII RC.35";"P.XII RC.35";"P.XII RC.35";"P.XII RC.35";"P.XII. R.C. 35";"P.XII RC.35";"P.XII RC.35";"P.XII RC. 35";"P.XII RC.35";"P.XII RC.35";;
"engine_model/P_XI_RC40bis";"
Engine model: P.XI.Bis R.C. 40";"P.XI.Bis R.C. 40";"P.XI.Bis R.C. 40";"P.XI.Bis R.C. 40";"P.XI.Bis R.C. 40";"P.XI.Bis R.C. 40";"P.XI. Bis R.C. 40";"P.XIbis R.C. 40";"P.XI.Bis R.C. 40";"P.XI R.C.40bis";"P.XI.Bis R.C. 40";"P.XI.Bis R.C. 40";"P.XI.Bis R.C. 40";"P.XI.Bis R.C. 40";"P.XI.bis R.C. 40";"P.XI.Bis R.C. 40";"P.XI.Bis R.C. 40";"P.XI. Bis R.C. 40";"P.XI R.C.40bis";"P.XI R.C.40bis";;
"engine_model/isotta";"
Engine model: K-14fc";"K-14fc";"K-14fc";"K-14fc";"K-14fc";"K-14fc";"K-14fc";"K-14fc";"K-14fc";"K.14fc";"K-14fc";"K-14fc";"K-14fc";"K-14fc";"K-14fc";"K-14fc";"K-14fc";"K-14fc";"K.14fc";"K.14fc";;
"engine_model/jumo_210g";"
Engine model: Jumo 210G";"Jumo 210G";"Jumo 210G";"Jumo 210G";"Jumo 210G";"Jumo 210G";"Jumo 210G";"Jumo 210 G";"Jumo 210G";"Jumo 210G";"ユモ 210G";"Jumo 210G";"Jumo 210G";"Džumo 210G";"Jumo 210G";"유모 210G";"Jumo 210G";"Jumo 210G";"Jumo 210G";"Jumo 210G";;
"engine_model/r2800-10w";"
Engine model: R-2800-10W";"R-2800-10w";"R-2800-10w";"R-2800-10w";"R-2800-10w";"R-2800-10w";"R-2800-10w";"R-2800-10w";"R-2800-10w";"R-2800-10W";"R-2800-10w";"R-2800-10w";"R-2800-10w";"R-2800-10w";"R-2800-10W";"R-2800-10w";"R-2800-10w";"R-2800-10w";"R-2800-10W";"R-2800-10W";;
"engine_model/r1830-45";"
Engine model: R-1830-45";"R-1830-45";"R-1830-45";"R-1830-45";"R-1830-45";"R-1830-45";"R-1830-45";"R-1830-45";"R-1830-45";"R-1830-45";"R-1830-45";"R-1830-45";"R-1830-45";"R-1830-45";"R-1830-45";"R-1830-45";"R-1830-45";"R-1830-45";"R-1830-45";"R-1830-45";"R-1830-45";;
"engine_model/r1830-47";"
Engine model: R-1830-47";"R-2800-10w";"R-1830-47";"R-1830-47";"R-1830-47";"R-1830-47";"R-1830-47";"R-1830-47";"R-1830-47";"R-1830-47";"R-1830-47";"R-1830-47";"R-1830-47";"R-1830-47";"R-1830-47";"R-1830-47";"R-1830-47";"R-1830-47";"R-1830-47";"R-1830-47";;
"engine_model/atsuta_31";"
Engine model: Atsuta 31";"Atsuta 31";"Atsuta 31";"Atsuta 31";"Atsuta 31";"Atsuta 31";"Atsuta 31";"Acuta 31";"Atsuta 31";"热\t田\t三\t一\t型";"アツタ 31";"Atsuta 31";"Atsuta 31";"Atsuta 31";"Acuta 31";"아츠타 31";"Atsuta 31";"Atsuta 31";"熱\t田\t三\t一\t型";"热\t田\t三\t一\t型";;
"engine_model/kinsei_62";"
Engine model: Kinsei 62";"Kinsei 62";"Kinsei 62";"Kinsei 62";"Kinsei 62";"Kinsei 62";"Kinsei 62";"Kinsei 62";"Kinsei 62";"金\t星\t六\t二\t型";"金星 62";"Kinsei 62";"Kinsei 62";"Kinsei 62";"Kinszei 62";"킨세이 62";"Kinsei 62";"Kinsei 62";"金\t星\t六\t二\t型";"金\t星\t六\t二\t型";;
"engine_model/1650-9";"
Engine model: 1650-9";"1650-9";"1650-9";"1650-9";"1650-9";"1650-9";"1650-9";"1650-9";"1650-9";"1650-9";"1650-9";"1650-9";"1650-9";"1650-9";"1650-9";"1650-9";"1650-9";"1650-9";"1650-9";"1650-9";;
"engine_model/ash-73";"
Engine model: AŠ-73";"ASH-73";"ASH-73";"ASH-73";"ASH-73";"АШ-73";"ASz-73";"AŠ-73";"ASH-73";"ASh-73";"ASH-73";"ASH-73";"АШ-73";"ASH-73";"AS-73";"ASH-73";"АШ-73";"ASH-73";"ASh-73";"ASh-73";;
"engine_model/ash-82v";"
Engine model: AŠ-82V";"ASH-82V";"ASH-82V";"ASH-82V";"ASH-82V";"АШ-82В";"ASz-82W";"ASH-82V";"ASH-82V";"ASh-82V";"ASH-82V";"ASH-82V";"АШ-82В";"ASH-82V";"AS-82V";"ASH-82V";"АШ-82В";"ASH-82V";"ASh-82V";"ASh-82V";;
"engine_model/r3350_43";"
Engine model: R-3350-43";"R-3350-43";"R-3350-43";"R-3350-43";"R-3350-43";"R-3350-43";"R-3350-43";"R-3350-43";"R-3350-43";"R-3350-43";"R-3350-43";"R-3350-43";"R-3350-43";"R-3350-43";"R-3350-43";"R-3350-43";"R-3350-43";"R-3350-43";"R-3350-43";"R-3350-43";;
"engine_model/merlin-130";"
Engine model: Merlin 130";"Merlin 130";"Merlin 130";"Merlin 130";"Merlin 130";"Merlin 130";"Merlin 130";"Merlin 130";"Merlin 130";"灰\t背\t隼\t-130";"マーリン 130";"Merlin 130";"Merlin 130";"Merlin 130";"Merlin 130";"멀린 130";"Merlin 130";"Merlin 130";"灰\t背\t隼 130";"“灰\t背\t隼”\t130";;
"engine_model/merlin-131";"
Engine model: Merlin 131";"Merlin 131";"Merlin 131";"Merlin 131";"Merlin 131";"Merlin 131";"Merlin 131";"Merlin 131";"Merlin 131";"灰\t背\t隼\t-131";"マーリン 131";"Merlin 131";"Merlin 131";"Merlin 131";"Merlin 131";"멀린 131";"Merlin 131";"Merlin 131";"灰\t背\t隼 131";"“灰\t背\t隼”\t131";;
"engine_model/r2800-18w";"
Engine model: R-2800-18W";"R-2800-18w";"R-2800-18w";"R-2800-18w";"R-2800-18w";"R-2800-18w";"R-2800-18w";"R-2800-18w";"R-2800-18w";"R-2800-18W";"R-2800-18w";"R-2800-18w";"R-2800-18w";"R-2800-18w";"R-2800-18W";"R-2800-18w";"R-2800-18w";"R-2800-18w";"R-2800-18W";"R-2800-18W";;
"engine_model/125_rc_35";"
Engine model: 125 R.C.35";"125 R.C.35";"125 R.C.35";"125 R.C.35";"125 R.C.35";"125 R.C.35";"125 R.C.35";"125 R.C.35";"125 R.C.35";"125 R.C.35";"125 R.C.35";"125 R.C.35";"125 R.C.35";"125 R.C.35";"125 R.C. 35";"125 R.C.35";"125 R.C.35";"125 R.C. 35";"125 R.C.35";"125 R.C.35";;
"engine_model/r2800-42w";"
Engine model: R-2800-42W";"R-2800-42w";"R-2800-42w";"R-2800-42w";"R-2800-42w";"R-2800-42w";"R-2800-42w";"R-2800-42w";"R-2800-42w";"R-2800-42W";"R-2800-42w";"R-2800-42w";"R-2800-42w";"R-2800-42w";"R-2800-42W";"R-2800-42w";"R-2800-42w";"R-2800-42w";"R-2800-42W";"R-2800-42W";;
"engine_model/j48-p-6";"
Engine model: J-48-P-6";"J48-P-6";"J-48-P-6";"J-48-P-6";"J-48-P-6";"J-48-P-6";"J-48-P-6";"J-48-P-6";"J-48-P-6";"J48-P-6";"J-48-P-6";"J-48-P-6";"J-48-P-6";"J-48-P-6";"J48-P-6";"J-48-P-6";"J-48-P-6";"J-48-P-6";"J48-P-6";"J-48-P-6";;
"engine_model/bmw_801_tu";"
Engine model: 801 TU";"801 TU";"801 TU";"801 TU";"801 TU";"801 TU";"801 TU";"801 TU";"801 TU";"801 TU";"801 TU";"801 TU";"801 TU";"801 TU";"801 TU";"801 TU";"801 TU";"801 TU";"801 TU";"801 TU";;
"engine_model/12y31";"
Engine model: 12Y-31";"12Y-31";"12Y-31";"12Y-31";"12Y-31";"12Y-31";"12Y-31";"12Y-31";"12Y-31";"12Y-31";"12Y-31";"12Y-31";"12Y-31";"12Y-31";"12Y-31";"12Y-31";"12Y-31";"12Y-31";"12Y-31";"12Y-31";;
"engine_model/12xbrs";"
Engine model: 12Xbrs";"12Xbrs";"12Xbrs";"12Xbrs";"12Xbrs";"12Xbrs";"12Xbrs";"12Xbrs";"12Xbrs";"12Xbrs";"12Xbrs";"12Xbrs";"12Xbrs";"12Xbrs";"12Xbrs";"12Xbrs";"12Xbrs";"12Xbrs";"12Xbrs";"12Xbrs";;
"engine_model/12xcrs";"
Engine model: 12Xcrs";"12Xcrs";"12Xcrs";"12Xcrs";"12Xcrs";"12Xcrs";"12Xcrs";"12Xcrs";"12Xcrs";"12Xcrs";"12Xcrs";"12Xcrs";"12Xcrs";"12Xcrs";"12Xcrs";"12Xcrs";"12Xcrs";"12Xcrs";"12Xcrs";"12Xcrs";;
"engine_model/12xgrs";"
Engine model: 12Xgrs";"12Xgrs";"12Xgrs";"12Xgrs";"12Xgrs";"12Xgrs";"12Xgrs";"12Xgrs";"12Xgrs";"12Xgrs";"12Xgrs";"12Xgrs";"12Xgrs";"12Xgrs";"12Xgrs";"12Xgrs";"12Xgrs";"12Xgrs";"12Xgrs";"12Xgrs";;
"engine_model/12ycrs";"
Engine model: 12Ycrs";"12Ycrs";"12Ycrs";"12Ycrs";"12Ycrs";"12Ycrs";"12Ycrs";"12Ycrs";"12Ycrs";"12Ycrs";"12Ycrs";"12Ycrs";"12Ycrs";"12Ycrs";"12Ycrs";"12Ycrs";"12Ycrs";"12Ycrs";"12Ycrs";"12Ycrs";;
"engine_model/14m_6";"
Engine model: 14M-6";"14M-6";"14M-6";"14M-6";"14M-6";"14M-6";"14M-6";"14M-6";"14M-6";"14M-6";"14M-6";"14M-6";"14M-6";"14M-6";"14M-6";"14M-6";"14M-6";"14M-6";"14M-6";"14M-6";;
"engine_model/14ab_10";"
Engine model: 14Ab-10";"14Ab-10";"14Ab-10";"14Ab-10";"14Ab-10";"14Ab-10";"14Ab-10";"14Ab-10";"14Ab-10";"14Ab-10";"14Ab-10";"14Ab-10";"14Ab-10";"14Ab-10";"14Ab-10";"14Ab-10";"14Ab-10";"14Ab-10";"14Ab-10";"14Ab-10";;
"engine_model/14ab_11";"
Engine model: 14Ab-11";"14Ab-11";"14Ab-11";"14Ab-11";"14Ab-11";"14Ab-11";"14Ab-11";"14Ab-11";"14Ab-11";"14Ab-11";"14Ab-11";"14Ab-11";"14Ab-11";"14Ab-11";"14Ab-11";"14Ab-11";"14Ab-11";"14Ab-11";"14Ab-11";"14Ab-11";;
"engine_model/14mars";"
Engine model: 14Mars";"14Mars";"14Mars";"14Mars";"14Mars";"14Mars";"14Mars";"14Mars";"14Mars";"14Mars";"14Mars";"14Mars";"14Mars";"14Mars";"14Mars";"14Mars";"14Mars";"14Mars";"14Mars";"14Mars";;
"engine_model/r-2600-13";"
Engine model: R-2600-13";"R-2600-13";"R-2600-13";"R-2600-13";"R-2600-13";"R-2600-13";"R-2600-13";"R-2600-13";"R-2600-13";"R-2600-13";"R-2600-13";"R-2600-13";"R-2600-13";"R-2600-13";"R-2600-13";"R-2600-13";"R-2600-13";"R-2600-13";"R-2600-13";"R-2600-13";;
"engine_model/14r";"
Engine model: 14R";"14R";"14R";"14R";"14R";"14R";"14R";"14R";"14R";"14R";"14R";"14R";"14R";"14R";"14R";"14R";"14R";"14R";"14R";"14R";;
"engine_model/av_14_kirs";"
Engine model: AV 14 Kirs";"AV 14 Kirs";"AV 14 Kirs";"AV 14 Kirs";"AV 14 Kirs";"AV 14 Kirs";"AV 14 Kirs";"AV 14 Kirs";"AV 14 Kirs";"14Kirs";"AV 14 Kirs";"AV 14 Kirs";"AV 14 Kirs";"AV 14 Kirs";"AV 14 Kirs";"AV 14 Kirs";"AV 14 Kirs";"AV 14 Kirs";"AV 14 Kirs";"14Kirs";;
"engine_model/nene-mk104";"
Engine model: Nene-Mk. 104";"Nene-Mk. 104";"Nene-Mk. 104";"Nene-Mk. 104";"Nene-Mk. 104";"Nene-Mk. 104";"Nene-Mk. 104";"Nene Mk. 104";"Nene-Mk. 104";"尼\t恩\t-Mk. 104";"Nene-Mk. 104";"Nene-Mk. 104";"Nene-Mk. 104";"Nene-Mk. 104";"Nene Mk. 104";"넨-Mk. 104";"Nene-Mk. 104";"Nene-Mk. 104";"尼\t恩 Mk. 104";"“尼\t恩”\tMk. 104";;
"engine_model/atar_101c";"
Engine model: Atar 101C";"Atar 101C";"Atar 101C";"Atar 101C";"Atar 101C";"Atar 101C";"Atar 101C";"Atar 101C";"Atar 101C";"阿\t塔 101C";"Atar 101C";"Atar 101C";"Atar 101C";"Atar 101C";"Atar 101C";"아타 101C";"Atar 101C";"Atar 101C";"阿\t塔\t爾 101C";"“阿\t塔\t尔”\t101C";;
"engine_model/04_c5";"
Engine model: 04-C5";"04-C5";"04-C5";"04-C5";"04-C5";"04-C5";"04-C5";"04-C5";"04-C5";"04-C5";"04-C5";"04-C5";"04-C5";"04-C5";"04-C5";"04-C5";"04-C5";"04-C5";"04-C5";"04-C5";"04-C5";;
"engine_model/04_c6";"
Engine model: 04-C6";"04-C6";"04-C6";"04-C6";"04-C6";"04-C6";"04-C6";"04-C6";"04-C6";"04-C6";"04-C6";"04-C6";"04-C6";"04-C6";"04-C6";"04-C6";"04-C6";"04-C6";"04-C6";"04-C6";"04-C6";;
"engine_model/atar_101d3";"
Engine model: Atar 101D3";"Atar 101D3";"Atar 101D3";"Atar 101D3";"Atar 101D3";"Atar 101D3";"Atar 101D3";"Atar 101D3";"Atar 101D3";"阿\t塔 101D3";"Atar 101D3";"Atar 101D3";"Atar 101D3";"Atar 101D3";"Atar 101D3";"아타 101D3";"Atar 101D3";"Atar 101D3";"阿\t塔\t爾 101D3";"“阿\t塔\t尔”\t101D3";;
"engine_model/atar_101e3";"
Engine model: Atar 101E3";"Atar 101E3";"Atar 101E3";"Atar 101E3";"Atar 101E3";"Atar 101E3";"Atar 101E3";"Atar 101E3";"Atar 101E3";"阿\t塔 101E3";"Atar 101E3";"Atar 101E3";"Atar 101E3";"Atar 101E3";"Atar 101E3";"아타 101E3";"Atar 101E3";"Atar 101E3";"阿\t塔\t爾 101E3";"“阿\t塔\t尔”\t101E3";;
"engine_model/12h-02";"
Engine model: 12H-02";"12H-02";"12H-02";"12H-02";"12H-02";"12H-02";"12H-02";"12H-02";"12H-02";"12H-02";"12H-02";"12H-02";"12H-02";"12H-02";"12H-02";"12H-02";"12H-02";"12H-02";"12H-02";"12H-02";;
"engine_model/12z";"
Engine model: 12Z";"12Z";"12Z";"12Z";"12Z";"12Z";"12Z";"12Z";"12Z";"12Z";"12Z";"12Z";"12Z";"12Z";"12Z";"12Z";"12Z";"12Z";"12Z";"12Z";;
"engine_model/12_r_03";"
Engine model: 12 R.03";"12 R.03";"12 R.03";"12 R.03";"12 R.03";"12 R.03";"12 R.03";"12 R.03";"12 R.03";"12 R.03";"12 R.03";"12 R.03";"12 R.03";"12 R.03";"12 R.03";"12 R.03";"12 R.03";"12 R. 03";"12 R.03";"12 R.03";;
"engine_model/12y29";"
Engine model: 12Y-29";"12Y-29";"12Y-29";"12Y-29";"12Y-29";"12Y-29";"12Y-29";"12Y-29";"12Y-29";"12Y-29";"12Y-29";"12Y-29";"12Y-29";"12Y-29";"12Y-29";"12Y-29";"12Y-29";"12Y-29";"12Y-29";"12Y-29";;
"engine_model/14n-38";"
Engine model: 14N-38";"14N-38";"14N-38";"14N-38";"14N-38";"14N-38";"14N-38";"14N-38";"14N-38";"14N-38";"14N-38";"14N-38";"14N-38";"14N-38";"14N-38";"14N-38";"14N-38";"14N-38";"14N-38";"14N-38";;
"engine_model/14n-39";"
Engine model: 14N-39";"14N-39";"14N-39";"14N-39";"14N-39";"14N-39";"14N-39";"14N-39";"14N-39";"14N-39";"14N-39";"14N-39";"14N-39";"14N-39";"14N-39";"14N-39";"14N-39";"14N-39";"14N-39";"14N-39";;
"engine_model/14kfs";"
Engine model: 14Kfs";"14Kfs";"14Kfs";"14Kfs";"14Kfs";"14Kfs";"14Kfs";"14Kfs";"14Kfs";"14Kfs";"14Kfs";"14Kfs";"14Kfs";"14Kfs";"14Kfs";"14Kfs";"14Kfs";"14Kfs";"14Kfs";"14Kfs";;
"engine_model/12Zars-15";"
Engine model: 12Zars-15";"12Zars-15";"12Zars-15";"12Zars-15";"12Zars-15";"12Zars-15";"12Zars-15";"12Zars-15";"12Zars-15";"12Zars-15";"12Zars-15";"12Zars-15";"12Zars-15";"12Zars-15";"12Zars-15";"12Zars-15";"12Zars-15";"12Zars-15";"12Zars-15";"12Zars-15";;
"engine_model/12Zars-16";"
Engine model: 12Zars-16";"12Zars-16";"12Zars-16";"12Zars-16";"12Zars-16";"12Zars-16";"12Zars-16";"12Zars-16";"12Zars-16";"12Zars-16";"12Zars-16";"12Zars-16";"12Zars-16";"12Zars-16";"12Zars-16";"12Zars-16";"12Zars-16";"12Zars-16";"12Zars-16";"12Zars-16";;
